epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.4817,0.4623,1,1,0.0439,0.0003334,0.0003334,0.0003334
2,77.8437,0.04144,1,1,0.00099,0.000660915,0.000660915,0.000660915
3,117.7,0.00831,1,1,0.00021,0.000965326,0.000965326,0.000965326
4,158.405,0.01556,1,1,5e-05,0.00124663,0.00124663,0.00124663
5,197.545,0.01452,0.98485,1,0.01175,0.00144696,0.00144696,0.00144696
6,236.334,0.01793,1,1,0.00045,0.00139195,0.00139195,0.00139195
7,275.5,0.01218,1,1,2e-05,0.00133693,0.00133693,0.00133693
8,314.435,0.00291,1,1,0.00011,0.00128192,0.00128192,0.00128192
9,353.418,0.00579,1,1,2e-05,0.00122691,0.00122691,0.00122691
10,392.19,0.00296,1,1,6e-05,0.0011719,0.0011719,0.0011719
11,430.597,0.00247,1,1,0.00015,0.00111689,0.00111689,0.00111689
12,470.121,0.03693,1,1,0,0.00106188,0.00106188,0.00106188
13,509.703,0.00821,1,1,0.00187,0.00100687,0.00100687,0.00100687
14,548.391,0.01488,1,1,0.0009,0.000951857,0.000951857,0.000951857
15,587.945,0.00439,1,1,5e-05,0.000896846,0.000896846,0.000896846
16,626.373,0.0059,1,1,0,0.000841835,0.000841835,0.000841835
17,664.488,0.0052,1,1,0,0.000786824,0.000786824,0.000786824
18,703.521,0.01253,1,1,0,0.000731813,0.000731813,0.000731813
19,742.344,0.00878,1,1,1e-05,0.000676802,0.000676802,0.000676802
20,781.473,0.00436,1,1,1e-05,0.000621791,0.000621791,0.000621791
21,822.006,0.00817,1,1,0,0.00056678,0.00056678,0.00056678
22,861.386,0.01648,1,1,2e-05,0.000511769,0.000511769,0.000511769
23,901.192,0.00327,1,1,2e-05,0.000456758,0.000456758,0.000456758
24,940.637,0.00461,1,1,2e-05,0.000401747,0.000401747,0.000401747
25,980.104,0.007,1,1,1e-05,0.000346736,0.000346736,0.000346736
26,1020.16,0.00629,1,1,1e-05,0.000291725,0.000291725,0.000291725
27,1058.25,0.00074,1,1,0,0.000236714,0.000236714,0.000236714
28,1096.8,0.0023,1,1,0,0.000181703,0.000181703,0.000181703
29,1135.1,0.00414,1,1,0,0.000126692,0.000126692,0.000126692
30,1173.66,0.00037,1,1,0,7.1681e-05,7.1681e-05,7.1681e-05
